cliente_id,paginas_vistas_7d,tiempo_sesion_min,visitas_7d,busquedas_7d,items_carrito,abandono_carrito,categoria_favorita
668,26,19.47,16,24,3,1,Deportes
669,31,31.07,18,32,4,0,Hogar
670,110,3.74,1,0,7,0,Libros
671,8,2.59,23,5,11,1,Ropa
672,103,0.96,22,17,3,0,Hogar
673,95,25.95,1,9,14,0,Libros
674,83,5.6,5,27,8,0,Libros
675,91,7.7,18,10,6,0,Electronica
676,96,10.48,7,32,9,0,Libros
677,67,27.44,25,0,12,0,Hogar
678,45,15.78,28,12,11,0,Deportes
679,97,14.32,2,36,6,0,Hogar
680,111,2.9,25,19,14,1,Ropa
681,66,10.8,13,0,12,1,Libros
682,25,18.85,24,2,12,1,Libros
683,7,54.32,15,17,7,0,Libros
684,5,3.37,0,40,11,1,Libros
685,79,0.14,20,13,5,0,Electronica
686,23,1.17,2,30,7,0,Electronica
687,47,7.07,21,26,2,1,Deportes
688,102,25.77,25,16,9,1,Libros
689,93,0.11,17,45,9,1,Ropa
690,44,9.15,8,28,13,1,Deportes
691,12,5.99,5,35,0,0,Libros
692,68,0.81,22,36,5,0,Electronica
693,24,8.97,20,25,0,1,Ropa
694,19,4.41,24,16,8,0,Deportes
695,117,6.51,0,21,13,0,Ropa
696,81,18.34,20,24,1,1,Libros
697,110,11.06,26,1,10,1,Hogar
698,81,2.0,9,21,1,0,Ropa
699,65,48.82,26,4,6,1,Ropa
700,73,15.16,5,3,1,1,Electronica
701,118,21.78,22,35,9,1,Libros
702,44,1.24,11,5,7,0,Ropa
703,113,0.72,3,20,5,0,Libros
704,46,0.29,27,12,13,0,Electronica
705,62,3.14,12,36,6,0,Libros
706,75,8.03,16,24,6,0,Electronica
707,110,41.19,26,25,5,0,Electronica
708,76,9.16,7,38,9,0,Deportes
709,113,5.14,25,19,10,1,Libros
710,110,12.38,19,32,8,0,Hogar
711,54,1.78,2,13,12,1,Deportes
712,74,14.11,11,35,8,1,Electronica
713,18,12.6,6,16,14,0,Hogar
714,34,23.55,11,20,6,1,Ropa
715,102,64.79,1,45,8,0,Ropa
716,52,4.33,23,15,12,0,Deportes
717,25,10.69,13,45,9,1,Hogar
718,109,35.93,21,15,2,0,Libros
719,13,23.07,22,19,2,1,Hogar
720,117,10.02,29,28,0,0,Deportes
721,44,43.61,4,27,4,1,Libros
722,43,0.88,8,7,14,0,Libros
723,87,40.1,20,23,3,1,Ropa
724,104,0.78,10,2,1,0,Hogar
725,64,11.89,4,24,8,1,Libros
726,50,33.17,2,18,2,1,Deportes
727,42,4.57,26,32,14,0,Ropa
728,118,9.59,16,1,7,1,Libros
729,85,5.88,1,14,5,0,Hogar
730,22,45.59,23,21,13,1,Ropa
731,55,26.03,0,9,12,0,Hogar
732,117,18.52,6,17,4,1,Hogar
733,18,13.29,29,21,0,1,Hogar
734,81,25.77,13,45,3,0,Ropa
735,75,7.47,4,48,2,0,Libros
736,54,8.9,18,26,0,0,Electronica
737,91,19.64,27,12,11,1,Libros
738,91,6.64,27,32,14,0,Ropa
739,59,0.99,10,4,4,0,Electronica
740,58,1.16,22,25,5,1,Electronica
741,32,1.84,24,12,1,0,Electronica
742,18,30.57,1,26,14,1,Deportes
743,27,9.59,7,13,13,0,Ropa
744,51,18.72,8,23,2,0,Deportes
745,48,7.49,26,2,10,1,Electronica
746,36,4.49,2,46,13,0,Deportes
747,25,6.4,1,48,14,0,Deportes
748,98,23.71,6,29,5,1,Ropa
749,97,14.72,4,34,3,0,Hogar
750,98,41.62,20,47,8,1,Deportes
751,39,17.08,25,13,4,1,Deportes
752,79,12.67,4,11,3,0,Electronica
753,37,14.13,19,27,1,0,Electronica
754,76,42.81,12,43,5,1,Electronica
755,86,23.28,20,28,9,0,Libros
756,53,0.37,28,42,1,0,Deportes
757,21,11.46,19,16,11,1,Electronica
758,15,17.49,28,39,12,0,Ropa
759,27,20.72,5,48,6,1,Libros
760,111,3.6,19,20,2,0,Hogar
761,34,30.28,17,22,8,0,Deportes
762,59,46.8,24,19,10,0,Deportes
763,44,4.05,1,10,4,1,Ropa
764,45,32.13,24,33,7,1,Hogar
765,71,1.53,25,9,10,1,Hogar
766,107,0.86,5,9,5,0,Libros
767,54,2.08,8,42,13,0,Deportes
768,118,0.89,24,5,11,0,Electronica
769,85,27.97,2,35,9,0,Ropa
770,84,0.91,0,23,7,0,Ropa
771,25,4.75,0,11,12,1,Ropa
772,103,1.64,18,42,12,0,Ropa
773,84,5.25,4,22,10,1,Electronica
774,24,1.42,12,26,11,0,Electronica
775,104,16.54,18,44,2,1,Libros
776,64,2.15,11,36,2,0,Deportes
777,5,28.64,15,5,4,0,Electronica
778,22,25.49,24,0,10,0,Libros
779,114,0.21,24,5,9,0,Hogar
780,63,33.91,18,49,2,0,Deportes
781,86,0.44,2,21,7,0,Electronica
782,42,4.11,11,40,9,0,Hogar
783,106,0.49,29,23,12,1,Libros
784,22,6.14,4,24,11,1,Electronica
785,95,10.82,1,14,13,1,Electronica
786,29,23.89,21,25,7,0,Hogar
787,76,6.19,6,7,1,1,Electronica
788,106,18.34,12,23,11,0,Ropa
789,17,3.11,24,47,3,0,Electronica
790,86,20.83,14,37,9,0,Deportes
791,78,4.04,21,5,12,0,Hogar
792,96,2.32,2,34,0,0,Deportes
793,20,3.08,27,41,3,0,Libros
794,56,3.01,20,0,11,0,Deportes
795,102,10.79,19,45,12,1,Ropa
796,22,27.95,4,35,12,1,Ropa
797,90,1.24,23,11,10,1,Deportes
798,44,18.41,7,37,12,1,Libros
799,43,15.93,21,10,3,0,Electronica
800,81,30.9,0,11,9,1,Ropa
801,87,4.2,7,41,8,1,Deportes
802,114,8.97,23,49,14,0,Deportes
803,46,39.02,17,38,2,0,Deportes
804,39,16.18,19,6,14,1,Electronica
805,50,7.38,27,10,1,0,Hogar
806,41,2.11,15,35,8,1,Libros
807,6,4.57,17,30,8,0,Hogar
808,49,13.06,19,32,0,0,Libros
809,47,19.0,11,12,5,0,Libros
810,83,1.99,12,17,9,0,Deportes
811,90,13.73,12,40,7,1,Ropa
812,5,11.99,9,23,2,1,Deportes
813,90,10.82,6,8,10,0,Electronica
814,8,17.57,24,30,8,0,Libros
815,116,27.25,13,40,1,1,Ropa
816,108,5.85,29,9,5,1,Libros
817,56,32.98,23,1,0,0,Libros
818,30,2.63,15,37,12,0,Deportes
819,20,2.85,14,14,6,1,Ropa
820,89,4.65,11,2,2,1,Ropa
821,39,1.91,8,42,6,0,Libros
822,111,3.93,7,30,3,0,Ropa
823,44,1.69,17,5,8,1,Ropa
824,76,25.87,22,2,4,1,Deportes
825,48,2.24,17,10,2,0,Hogar
826,86,20.63,12,14,14,0,Electronica
827,19,0.74,27,44,7,1,Hogar
828,100,44.5,26,27,5,0,Ropa
829,117,18.63,17,9,1,0,Libros
830,116,0.1,14,37,2,0,Electronica
831,91,21.65,3,46,7,0,Electronica
832,16,10.83,16,49,14,1,Libros
833,27,22.67,4,49,9,0,Electronica
834,40,11.09,21,6,6,1,Libros
835,65,15.37,15,14,9,0,Electronica
836,24,23.15,8,17,5,0,Hogar
837,57,7.79,9,17,13,0,Electronica
838,113,0.04,23,40,0,1,Deportes
839,40,28.45,17,23,8,1,Libros
840,5,7.19,16,1,2,0,Electronica
841,74,10.28,17,39,13,1,Libros
842,37,0.12,6,19,4,1,Deportes
843,5,10.16,3,33,6,1,Electronica
844,44,64.56,25,42,14,0,Electronica
845,74,4.89,4,25,6,1,Deportes
846,13,7.55,27,6,2,0,Deportes
847,65,17.43,22,37,14,0,Deportes
848,39,25.29,15,29,3,1,Libros
849,2,8.1,2,41,9,0,Deportes
850,118,5.56,25,4,6,0,Libros
851,116,41.67,17,10,7,0,Hogar
852,98,16.96,28,0,1,1,Electronica
853,96,1.9,22,33,8,1,Electronica
854,23,1.07,20,0,6,0,Ropa
855,18,9.91,13,18,12,1,Hogar
856,17,3.73,14,1,7,0,Deportes
857,63,4.4,16,20,5,0,Deportes
858,112,31.52,0,19,5,1,Hogar
859,115,1.41,24,22,8,0,Deportes
860,87,18.85,20,20,3,0,Ropa
861,108,4.74,16,23,10,0,Libros
862,34,21.43,22,3,10,1,Electronica
863,61,19.22,24,11,4,0,Hogar
864,0,0.11,10,21,8,1,Electronica
865,99,10.67,16,19,0,1,Libros
866,24,2.25,25,17,3,0,Hogar
867,44,30.17,13,0,6,1,Libros
868,48,30.79,28,29,10,0,Deportes
869,106,8.13,19,32,14,0,Deportes
870,97,8.82,29,23,8,1,Deportes
871,88,5.42,18,13,14,1,Libros
872,15,18.91,20,35,13,0,Libros
873,97,6.66,6,4,12,0,Libros
874,92,4.68,23,10,10,0,Electronica
875,18,8.49,12,23,11,0,Libros
876,22,1.44,17,30,12,0,Deportes
877,82,20.59,22,12,9,0,Ropa
878,24,0.19,29,15,5,1,Libros
879,15,15.51,13,23,11,0,Ropa
880,53,3.03,0,12,7,0,Deportes
881,114,3.97,6,23,12,1,Libros
882,72,15.14,7,25,8,1,Electronica
883,0,74.31,17,1,9,0,Electronica
884,41,22.56,8,15,3,0,Ropa
885,18,3.84,0,37,0,1,Electronica
886,96,2.9,28,45,13,0,Electronica
887,33,30.17,21,0,7,0,Electronica
888,79,8.81,16,48,1,1,Deportes
889,107,2.21,18,10,10,0,Electronica
890,103,29.73,26,34,0,0,Hogar
891,54,25.4,5,42,12,0,Libros
892,17,61.94,2,28,6,0,Electronica
893,33,36.08,23,36,11,0,Electronica
894,88,28.64,4,16,9,1,Electronica
895,44,0.81,1,38,8,0,Hogar
896,5,1.65,19,41,10,0,Electronica
897,20,12.62,24,27,14,0,Electronica
898,69,11.37,3,28,11,1,Libros
899,95,9.19,9,42,11,0,Hogar
900,104,7.58,9,2,8,0,Hogar
901,47,8.46,23,9,2,1,Electronica
902,106,12.64,20,41,5,0,Hogar
903,38,0.03,10,13,6,0,Ropa
904,30,4.53,26,11,13,0,Hogar
905,105,10.96,15,46,9,0,Hogar
906,9,19.21,25,41,8,0,Hogar
907,29,2.87,28,29,14,1,Deportes
908,115,11.87,28,31,1,0,Deportes
909,17,18.8,29,31,7,0,Deportes
910,59,8.82,16,41,13,0,Hogar
911,87,0.41,15,31,6,0,Ropa
912,115,8.95,6,25,3,0,Hogar
913,72,5.27,15,0,1,1,Electronica
914,94,39.81,2,41,7,0,Ropa
915,14,2.0,25,1,10,1,Deportes
916,3,15.85,15,16,4,0,Libros
917,62,0.81,7,29,5,0,Ropa
918,39,8.86,29,38,13,0,Deportes
919,8,12.11,11,6,10,0,Ropa
920,108,5.31,2,26,6,0,Ropa
921,8,9.11,16,8,14,0,Hogar
922,25,2.68,20,21,14,1,Electronica
923,3,5.44,17,33,9,0,Libros
924,80,14.56,10,45,0,0,Deportes
925,15,5.39,3,48,7,0,Ropa
926,14,34.5,15,0,3,0,Libros
927,98,14.85,16,8,12,0,Ropa
928,51,8.66,8,19,8,0,Electronica
929,68,0.59,5,18,0,0,Libros
930,118,10.38,23,35,10,1,Deportes
931,4,21.71,26,39,1,1,Ropa
932,19,4.63,19,44,13,0,Electronica
933,78,24.66,24,3,5,0,Libros
934,17,4.35,1,8,10,1,Ropa
935,110,26.04,8,40,9,0,Ropa
936,1,1.34,27,21,10,0,Deportes
937,92,30.17,20,17,13,0,Electronica
938,12,10.37,28,11,0,0,Hogar
939,3,5.28,5,41,3,0,Ropa
940,41,4.62,2,42,7,0,Libros
941,108,8.48,19,38,14,0,Deportes
942,73,104.38,5,8,9,0,Deportes
943,60,3.73,6,5,4,1,Ropa
944,94,1.63,0,18,12,0,Ropa
945,104,13.19,22,47,8,0,Ropa
946,7,10.06,0,46,10,0,Hogar
947,66,11.14,4,6,10,1,Ropa
948,111,16.49,5,15,5,1,Electronica
949,62,4.66,12,4,0,1,Libros
950,109,36.23,1,15,5,0,Ropa
951,8,8.58,14,0,5,1,Hogar
952,93,2.07,14,36,12,1,Libros
953,116,20.34,12,38,5,0,Deportes
954,10,15.45,25,18,7,0,Ropa
955,98,5.69,24,36,14,0,Libros
956,100,14.57,13,16,5,1,Deportes
957,41,3.72,25,25,4,0,Hogar
958,12,8.83,21,21,14,0,Electronica
959,35,34.45,6,7,10,1,Ropa
960,119,2.15,13,32,1,1,Electronica
961,12,7.33,25,1,3,1,Hogar
962,11,25.82,23,29,13,1,Libros
963,36,52.35,26,46,14,0,Libros
964,73,9.08,28,19,9,1,Hogar
965,119,10.61,9,17,4,0,Hogar
966,72,12.74,16,42,9,1,Ropa
967,51,40.4,13,9,3,0,Deportes
968,70,29.3,7,23,1,1,Electronica
969,1,2.81,3,3,6,1,Electronica
970,117,8.61,25,36,9,1,Libros
971,55,9.35,15,3,9,0,Libros
972,59,23.35,23,12,1,0,Ropa
973,22,13.85,12,24,0,1,Hogar
974,102,15.93,21,12,13,0,Electronica
975,39,94.8,26,17,4,1,Ropa
976,63,1.17,24,23,11,0,Libros
977,102,3.78,26,1,12,1,Libros
978,84,7.86,19,47,0,0,Electronica
979,22,6.41,17,32,0,1,Libros
980,28,0.33,13,18,14,1,Libros
981,77,1.44,17,8,0,0,Deportes
982,89,17.14,4,27,5,0,Hogar
983,50,31.72,25,34,8,0,Libros
984,68,10.83,8,38,9,0,Deportes
985,118,11.62,27,9,12,0,Ropa
986,94,4.42,2,0,10,1,Libros
987,88,21.91,7,41,11,0,Ropa
988,30,20.9,19,20,0,0,Libros
989,49,13.31,21,8,4,0,Electronica
990,19,3.59,9,46,14,0,Deportes
991,107,1.53,21,14,8,0,Deportes
992,54,1.0,18,34,13,1,Electronica
993,80,13.47,29,4,8,1,Hogar
994,108,26.15,20,40,0,0,Deportes
995,1,29.31,27,21,7,0,Ropa
996,24,9.34,2,40,0,1,Deportes
997,12,23.01,10,22,14,0,Hogar
998,102,44.03,10,6,7,0,Ropa
999,91,4.83,16,22,0,0,Ropa
1000,105,7.61,15,43,11,0,Electronica
